Occupation code,Occupation title,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
00-0000,All Occupations,total,"142,549,250",0.1%,1000.000,$18.12,$24.34,"$50,620",0.1%
11-0000,Management Occupations,major,"7,280,330",0.2%,51.072,$49.32,$57.65,"$119,910",0.1%
11-1000,Top Executives,minor,"2,473,740",0.3%,17.354,$49.58,$61.55,"$128,020",0.2%
11-1011,Chief Executives,detail,"210,160",0.7%,1.474,$88.11,$94.25,"$196,050",0.4%
11-1021,General and Operations Managers,detail,"2,212,200",0.3%,15.519,$48.27,$59.35,"$123,460",0.2%
11-1031,Legislators,detail,"51,380",1.3%,0.360,(4),(4),"$46,350",1.0%
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"685,780",0.5%,4.811,$59.19,$66.66,"$138,650",0.3%
11-2011,Advertising and Promotions Managers,detail,"28,100",2.6%,0.197,$51.03,$59.56,"$123,880",1.5%
11-2020,Marketing and Sales Managers,broad,"590,380",0.5%,4.142,$60.24,$67.60,"$140,600",0.3%
11-2021,Marketing Managers,detail,"218,970",0.8%,1.536,$63.57,$70.01,"$145,620",0.4%
11-2022,Sales Managers,detail,"371,410",0.6%,2.605,$58.20,$66.18,"$137,650",0.3%
11-2031,Public Relations and Fundraising Managers,detail,"67,300",1.1%,0.472,$53.50,$61.39,"$127,690",0.6%
11-3000,Operations Specialties Managers,minor,"1,752,130",0.3%,12.291,$55.62,$62.24,"$129,450",0.2%
11-3011,Administrative Services Managers,detail,"270,100",0.6%,1.895,$45.20,$49.70,"$103,380",0.3%
11-3021,Computer and Information Systems Managers,detail,"365,690",0.8%,2.565,$66.93,$71.99,"$149,730",0.4%
11-3031,Financial Managers,detail,"569,380",0.6%,3.994,$60.14,$69.01,"$143,530",0.3%
11-3051,Industrial Production Managers,detail,"171,520",0.6%,1.203,$48.36,$53.16,"$110,580",0.3%
11-3061,Purchasing Managers,detail,"70,430",0.8%,0.494,$55.65,$58.56,"$121,810",0.4%
11-3071,"Transportation, Storage, and Distribution Managers",detail,"118,680",1.1%,0.833,$44.45,$48.43,"$100,740",0.4%
11-3111,Compensation and Benefits Managers,detail,"15,520",1.6%,0.109,$57.27,$62.50,"$130,010",0.7%
11-3121,Human Resources Managers,detail,"136,310",0.6%,0.956,$52.94,$59.38,"$123,510",0.3%
11-3131,Training and Development Managers,detail,"34,500",1.4%,0.242,$52.05,$56.58,"$117,690",0.5%
11-9000,Other Management Occupations,minor,"2,368,680",0.3%,16.617,$42.65,$47.57,"$98,940",0.2%
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detail,"4,610",6.0%,0.032,$33.47,$38.62,"$80,320",2.6%
11-9021,Construction Managers,detail,"263,480",0.9%,1.848,$43.93,$48.56,"$101,000",0.4%
11-9030,Education Administrators,broad,"477,750",0.6%,3.351,$42.74,$45.80,"$95,270",0.5%
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detail,"49,130",1.7%,0.345,$22.54,$25.74,"$53,550",0.9%
11-9032,"Education Administrators, Elementary and Secondary School",detail,"250,280",0.7%,1.756,(4),(4),"$97,440",0.6%
11-9033,"Education Administrators, Postsecondary",detail,"142,160",1.2%,0.997,$44.41,$51.77,"$107,670",0.6%
11-9039,"Education Administrators, All Other",detail,"36,190",1.6%,0.254,$39.25,$42.42,"$88,240",0.8%
11-9041,Architectural and Engineering Managers,detail,"179,990",1.0%,1.263,$66.21,$70.33,"$146,290",0.4%
11-9051,Food Service Managers,detail,"208,110",1.6%,1.460,$25.02,$27.52,"$57,250",0.6%
11-9061,Funeral Service Managers,detail,"8,350",4.0%,0.059,$37.52,$44.76,"$93,090",2.8%
11-9071,Gaming Managers,detail,"4,420",3.3%,0.031,$35.06,$40.12,"$83,460",1.1%
11-9081,Lodging Managers,detail,"36,610",2.4%,0.257,$24.90,$28.67,"$59,620",1.0%
11-9111,Medical and Health Services Managers,detail,"346,980",0.5%,2.434,$47.29,$53.69,"$111,680",0.4%
11-9121,Natural Sciences Managers,detail,"56,210",2.2%,0.394,$57.20,$64.26,"$133,670",1.1%
11-9131,Postmasters and Mail Superintendents,detail,"13,960",0.0%,0.098,$35.98,$36.38,"$75,660",0.1%
11-9141,"Property, Real Estate, and Community Association Managers",detail,"186,720",1.2%,1.310,$28.21,$34.79,"$72,370",0.8%
11-9151,Social and Community Service Managers,detail,"141,830",1.4%,0.995,$30.82,$33.91,"$70,530",0.6%
11-9161,Emergency Management Directors,detail,"9,560",1.6%,0.067,$34.98,$39.01,"$81,140",1.2%
11-9199,"Managers, All Other",detail,"430,120",0.6%,3.017,$50.77,$54.41,"$113,180",0.3%
13-0000,Business and Financial Operations Occupations,major,"7,472,750",0.2%,52.422,$32.55,$36.70,"$76,330",0.2%
13-1000,Business Operations Specialists,minor,"4,811,530",0.3%,33.753,$31.92,$35.14,"$73,080",0.2%
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detail,"15,450",4.1%,0.108,$31.22,$43.69,"$90,870",3.9%
13-1020,Buyers and Purchasing Agents,broad,"413,540",0.6%,2.901,$29.87,$32.19,"$66,960",0.3%
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"298,170",1.3%,2.092,$31.10,$31.85,"$66,250",0.6%
13-1031,"Claims Adjusters, Examiners, and Investigators",detail,"282,030",1.3%,1.978,$31.20,$31.89,"$66,340",0.6%
13-1032,"Insurance Appraisers, Auto Damage",detail,"16,150",4.5%,0.113,$29.86,$31.10,"$64,680",1.0%
13-1041,Compliance Officers,detail,"287,130",0.7%,2.014,$32.63,$34.39,"$71,540",0.4%
13-1051,Cost Estimators,detail,"210,900",0.8%,1.479,$30.34,$32.90,"$68,420",0.3%
13-1070,Human Resources Workers,broad,"633,250",0.5%,4.442,$29.12,$31.79,"$66,120",0.3%
13-1071,Human Resources Specialists,detail,"553,950",0.5%,3.886,$29.01,$31.84,"$66,220",0.2%
13-1074,Farm Labor Contractors,detail,780,31.3%,0.005,$17.15,$23.50,"$48,890",11.3%
13-1075,Labor Relations Specialists,detail,"78,510",1.7%,0.551,$30.38,$31.51,"$65,540",1.5%
13-1081,Logisticians,detail,"159,800",1.0%,1.121,$35.86,$37.86,"$78,740",0.4%
13-1111,Management Analysts,detail,"659,200",0.8%,4.624,$39.64,$44.92,"$93,440",0.4%
13-1121,"Meeting, Convention, and Event Planners",detail,"102,420",1.5%,0.719,$23.22,$25.30,"$52,630",0.8%
13-1131,Fundraisers,detail,"72,920",1.4%,0.512,$26.75,$28.81,"$59,930",0.8%
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detail,"80,530",1.1%,0.565,$30.14,$32.29,"$67,160",0.4%
13-1151,Training and Development Specialists,detail,"280,340",0.8%,1.967,$29.02,$31.11,"$64,700",0.3%
13-1161,Market Research Analysts and Marketing Specialists,detail,"596,450",0.8%,4.184,$30.40,$34.35,"$71,450",0.4%
13-1199,"Business Operations Specialists, All Other",detail,"1,001,420",0.5%,7.025,$33.66,$36.42,"$75,740",0.2%
13-2000,Financial Specialists,minor,"2,661,230",0.4%,18.669,$33.71,$39.51,"$82,190",0.3%
13-2011,Accountants and Auditors,detail,"1,241,000",0.7%,8.706,$33.34,$37.46,"$77,920",0.4%
13-2021,Appraisers and Assessors of Real Estate,detail,"58,880",2.4%,0.413,$25.97,$29.25,"$60,830",1.2%
13-2031,Budget Analysts,detail,"54,550",1.0%,0.383,$36.17,$37.83,"$78,680",0.6%
13-2041,Credit Analysts,detail,"74,850",1.7%,0.525,$34.27,$39.86,"$82,900",0.9%
13-2050,Financial Analysts and Advisors,broad,"584,940",0.9%,4.103,$39.79,$50.27,"$104,570",0.7%
13-2051,Financial Analysts,detail,"294,110",1.3%,2.063,$40.53,$47.80,"$99,430",0.9%
13-2052,Personal Financial Advisors,detail,"200,920",1.4%,1.409,$43.58,$59.68,"$124,140",1.0%
13-2053,Insurance Underwriters,detail,"89,910",2.3%,0.631,$33.54,$37.34,"$77,660",0.8%
13-2061,Financial Examiners,detail,"52,580",1.8%,0.369,$39.28,$44.12,"$91,780",0.7%
13-2070,Credit Counselors and Loan Officers,broad,"343,150",1.0%,2.407,$29.73,$36.03,"$74,940",0.6%
13-2071,Credit Counselors,detail,"35,900",3.4%,0.252,$21.50,$23.78,"$49,460",1.2%
13-2072,Loan Officers,detail,"307,240",1.1%,2.155,$31.09,$37.46,"$77,920",0.6%
